level,kanji,jawaban,arti
N5,日,ひ;にち;び,Hari/Matahari
N5,月,つき;げつ,Bulan
N5,火,ひ;か,Api
N5,水,みず;すい,Air
N5,木,き;もく,Pohon
N5,金,かね;きん,Uang/Emas
N5,土,つち;ど,Tanah
N5,山,やま;さん,Gunung
N5,川,かわ;せん,Sungai
N5,田,た;でん,Sawah
N5,人,ひと;にん;じん,Orang
N5,口,くち;こう,Mulut
N5,目,め;もく,Mata
N5,耳,みみ;じ,Telinga
N5,手,て;しゅ,Tangan
N5,足,あし;そく,Kaki
N5,力,ちから;りょく,Kekuatan
N5,雨,あめ;う,Hujan
N5,車,くるま;しゃ,Mobil
N5,学,まなぶ;がく,Belajar
N5,校,こう,Sekolah
N5,生,いきる;せい,Hidup
N5,先,さき;せん,Depan
N5,私,わたし;し,Saya
N5,年,とし;ねん,Tahun
N5,時,とき;じ,Waktu
N5,分,ふん;ぶん,Menit
N5,上,うえ;じょう,Atas
N5,下,した;か,Bawah
N5,中,なか;ちゅう,Dalam
N5,大,おお;だい,Besar
N5,小,ちい;しょう,Kecil
N5,本,ほん,Buku
N5,名,な;めい,Nama
N5,円,えん,Yen
N5,子,こ;し,Anak
N5,女,おんな;じょ,Perempuan
N5,男,おとこ;だん,Laki-laki
N5,友,とも;ゆう,Teman
N5,父,ちち;ふ,Ayah
N5,母,はは;ぼ,Ibu
N5,兄,あに;けい,Kakak laki-laki
N5,姉,あね;し,Kakak perempuan
N5,弟,おとうと;てい,Adik laki-laki
N5,妹,いもうと;まい,Adik perempuan
N5,何,なに;なん,Apa
N5,誰,だれ;すい,Siapa
N5,何時,なんじ,Jam berapa
N5,今,いま;こん,Sekarang
N5,前,まえ;ぜん,Depan
N5,後,あと;ご,Belakang
N5,右,みぎ;う,Kanan
N5,左,ひだり;さ,Kiri
N5,東,ひがし;とう,Timur
N5,西,にし;せい,Barat
N5,南,みなみ;なん,Selatan
N5,北,きた;ほく,Utara
N5,外,そと;がい,Luar
N5,内,うち;ない,Dalam
N5,間,あいだ;かん,Antara
N5,毎,まい,Setiap
N5,週,しゅう,Minggu
N5,月曜,げつよう,Senin
N5,火曜,かよう,Selasa
N5,水曜,すいよう,Rabu
N5,木曜,もくよう,Kamis
N5,金曜,きんよう,Jumat
N5,土曜,どよう,Sabtu
N5,日曜,にちよう,Minggu
N5,食,たべる;しょく,Makan
N5,飲,のむ;いん,Minum
N5,見,みる;けん,Melihat
N5,聞,きく;ぶん,Mendengar
N5,話,はなす;わ,Berbicara
N5,読,よむ;どく,Membaca
N5,書,かく;しょ,Menulis
N5,買,かう;ばい,Membeli
N5,売,うる;ばい,Menjual
N5,行,いく;こう,Pergi
N5,来,くる;らい,Datang
N5,帰,かえる;き,Kembali
N5,立,たつ;りつ,Berdiri
N5,座,すわる;ざ,Duduk
N5,休,やすむ;きゅう,Libur/Istirahat
N5,働,はたらく;どう,Bekerja
N5,住,すむ;じゅう,Tinggal
N5,開,あける;かい,Membuka
N5,閉,しめる;へい,Menutup
N5,新,あたらしい;しん,Baru
N5,古,ふるい;こ,Lama
N5,長,ながい;ちょう,Panjang
N5,短,みじかい;たん,Pendek
N5,高,たかい;こう,Tinggi/Mahal
N5,安,やすい;あん,Murah
N5,多,おおい;た,Banyak
N5,少,すくない;しょう,Sedikit
N4,飲む,のむ,Minum
N4,食べる,たべる,Makan
N4,行く,いく,Pergi
N4,来る,くる,Datang
N4,見る,みる,Melihat
N4,聞く,きく,Mendengar
N4,話す,はなす,Berbicara
N4,読む,よむ,Membaca
N4,書く,かく,Menulis
N4,立つ,たつ,Berdiri
N4,座る,すわる,Duduk
N4,歩く,あるく,Berjalan
N4,走る,はしる,Berlari
N4,泳ぐ,およぐ,Berenang
N4,買う,かう,Membeli
N4,売る,うる,Menjual
N4,持つ,もつ,Membawa
N4,使う,つかう,Menggunakan
N4,作る,つくる,Membuat
N4,始める,はじめる,Memulai
N4,終わる,おわる,Selesai
N4,開ける,あける,Membuka
N4,閉める,しめる,Menutup
N4,入る,はいる,Masuk
N4,出る,でる,Keluar
N4,帰る,かえる,Pulang
N4,泊まる,とまる,Menginap
N4,止める,とめる,Menghentikan
N4,続ける,つづける,Melanjutkan
N4,決める,きめる,Memutuskan
N4,考える,かんがえる,Berpikir
N4,思う,おもう,Berpikir/Merasa
N4,知る,しる,Mengetahui
N4,分かる,わかる,Mengerti
N4,覚える,おぼえる,Mengingat
N4,忘れる,わすれる,Lupa
N4,教える,おしえる,Mengajar
N4,習う,ならう,Belajar
N4,働く,はたらく,Bekerja
N4,休む,やすむ,Istirahat
N4,忙しい,いそがしい,Sibuk
N4,暇,ひま,Senggang
N4,早い,はやい,Cepat
N4,遅い,おそい,Lambat
N4,近い,ちかい,Dekat
N4,遠い,とおい,Jauh
N4,強い,つよい,Kuat
N4,弱い,よわい,Lemah
N4,明るい,あかるい,Terang
N4,暗い,くらい,Gelap
N4,重い,おもい,Berat
N4,軽い,かるい,Ringan
N4,広い,ひろい,Luas
N4,狭い,せまい,Sempit
N4,暑い,あつい,Panas
N4,寒い,さむい,Dingin
N4,高い,たかい,Tinggi/Mahal
N4,安い,やすい,Murah
N4,新しい,あたらしい,Baru
N4,古い,ふるい,Lama
N4,長い,ながい,Panjang
N4,短い,みじかい,Pendek
N4,楽しい,たのしい,Menyenangkan
N4,面白い,おもしろい,Menarik
N4,難しい,むずかしい,Sulit
N4,簡単,かんたん,Mudah
N4,便利,べんり,Praktis
N4,不便,ふべん,Tidak praktis
N4,有名,ゆうめい,Terkenal
N4,大切,たいせつ,Penting
N4,必要,ひつよう,Perlu
N4,危険,きけん,Berbahaya
N4,安全,あんぜん,Aman
N4,静か,しずか,Tenang
N4,にぎやか,にぎやか,Ramai
N4,親切,しんせつ,Baik hati
N4,元気,げんき,Sehat/Semangat
N4,好き,すき,Suka
N4,嫌い,きらい,Tidak suka
N4,上手,じょうず,Mahir
N4,下手,へた,Tidak mahir
N4,一度,いちど,Sekali
N4,二度,にど,Dua kali
N4,三回,さんかい,Tiga kali
N4,全部,ぜんぶ,Semua
N4,一部,いちぶ,Sebagian
N4,毎日,まいにち,Setiap hari
N4,毎週,まいしゅう,Setiap minggu
N4,毎月,まいつき,Setiap bulan
N4,毎年,まいとし,Setiap tahun
N4,今度,こんど,Lain kali
N4,最近,さいきん,Akhir-akhir ini
N4,最初,さいしょ,Awal
N4,最後,さいご,Akhir
N4,途中,とちゅう,Di tengah jalan
N4,場所,ばしょ,Tempat
N4,理由,りゆう,Alasan
N4,方法,ほうほう,Cara
N4,結果,けっか,Hasil
N3,世界,せかい,Dunia
N3,文化,ぶんか,Budaya
N3,社会,しゃかい,Masyarakat
N3,会社,かいしゃ,Perusahaan
N3,仕事,しごと,Pekerjaan
N3,問題,もんだい,Masalah
N3,時間,じかん,Waktu
N3,場所,ばしょ,Tempat
N3,理由,りゆう,Alasan
N3,方法,ほうほう,Cara
N3,結果,けっか,Hasil
N3,必要,ひつよう,Perlu
N3,大切,たいせつ,Penting
N3,簡単,かんたん,Mudah
N3,難しい,むずかしい,Sulit
N3,説明,せつめい,Penjelasan
N3,利用,りよう,Penggunaan
N3,経験,けいけん,Pengalaman
N3,連絡,れんらく,Kontak
N3,確認,かくにん,Konfirmasi
N3,計画,けいかく,Rencana
N3,準備,じゅんび,Persiapan
N3,開始,かいし,Mulai
N3,終了,しゅうりょう,Selesai
N3,参加,さんか,Partisipasi
N3,決定,けってい,Keputusan
N3,希望,きぼう,Harapan
N3,目的,もくてき,Tujuan
N3,原因,げんいん,Penyebab
N3,対策,たいさく,Solusi
N3,調査,ちょうさ,Penelitian
N3,報告,ほうこく,Laporan
N3,連続,れんぞく,Berkelanjutan
N3,比較,ひかく,Perbandingan
N3,増加,ぞうか,Peningkatan
N3,減少,げんしょう,Penurunan
N3,変化,へんか,Perubahan
N3,成長,せいちょう,Pertumbuhan
N3,発展,はってん,Perkembangan
N3,改善,かいぜん,Perbaikan
N3,関係,かんけい,Hubungan
N3,状態,じょうたい,Kondisi
N3,状況,じょうきょう,Keadaan
N3,現実,げんじつ,Kenyataan
N3,将来,しょうらい,Masa depan
N3,過去,かこ,Masa lalu
N3,現在,げんざい,Sekarang
N3,普通,ふつう,Biasa
N3,特別,とくべつ,Khusus
N3,重要,じゅうよう,Penting
N3,基本,きほん,Dasar
N3,中心,ちゅうしん,Pusat
N3,周囲,しゅうい,Sekitar
N3,全体,ぜんたい,Keseluruhan
N3,部分,ぶぶん,Bagian
N3,内容,ないよう,Isi
N3,意味,いみ,Arti
N3,価値,かち,Nilai
N3,意見,いけん,Pendapat
N3,考え,かんがえ,Pikiran
N3,感情,かんじょう,Perasaan
N3,行動,こうどう,Tindakan
N3,努力,どりょく,Usaha
N3,成功,せいこう,Keberhasilan
N3,失敗,しっぱい,Kegagalan
N3,挑戦,ちょうせん,Tantangan
N3,選択,せんたく,Pilihan
N3,決断,けつだん,Keputusan
N3,理解,りかい,Pemahaman
N3,解決,かいけつ,Penyelesaian
N3,利用者,りようしゃ,Pengguna
N3,管理,かんり,Manajemen
N3,制度,せいど,Sistem
N3,規則,きそく,Aturan
N3,法律,ほうりつ,Hukum
N3,責任,せきにん,Tanggung jawab
N3,義務,ぎむ,Kewajiban
N3,権利,けんり,Hak
N3,自由,じゆう,Kebebasan
N3,平等,びょうどう,Kesetaraan
N3,安全,あんぜん,Keamanan
N3,危険,きけん,Bahaya
N3,環境,かんきょう,Lingkungan
N3,自然,しぜん,Alam
N3,資源,しげん,Sumber daya
N3,消費,しょうひ,Konsumsi
N3,生産,せいさん,Produksi
N3,販売,はんばい,Penjualan
N3,価格,かかく,Harga
N3,市場,しじょう,Pasar
N3,経済,けいざい,Ekonomi
N3,収入,しゅうにゅう,Pendapatan
N3,支出,ししゅつ,Pengeluaran
N3,貯金,ちょきん,Tabungan
N3,投資,とうし,Investasi
N3,利益,りえき,Keuntungan
N3,損失,そんしつ,Kerugian
N2,経済,けいざい,Ekonomi
N2,政治,せいじ,Politik
N2,法律,ほうりつ,Hukum
N2,政府,せいふ,Pemerintah
N2,国際,こくさい,Internasional
N2,環境,かんきょう,Lingkungan
N2,技術,ぎじゅつ,Teknologi
N2,開発,かいはつ,Pengembangan
N2,研究,けんきゅう,Penelitian
N2,教育,きょういく,Pendidikan
N2,医療,いりょう,Medis
N2,情報,じょうほう,Informasi
N2,管理,かんり,Manajemen
N2,制度,せいど,Sistem
N2,影響,えいきょう,Pengaruh
N2,増加,ぞうか,Peningkatan
N2,減少,げんしょう,Penurunan
N2,状況,じょうきょう,Kondisi
N2,対応,たいおう,Penanganan
N2,改善,かいぜん,Perbaikan
N2,発表,はっぴょう,Presentasi
N2,報告,ほうこく,Laporan
N2,説明,せつめい,Penjelasan
N2,意見,いけん,Pendapat
N2,議論,ぎろん,Diskusi
N2,提案,ていあん,Usulan
N2,決定,けってい,Keputusan
N2,判断,はんだん,Penilaian
N2,選択,せんたく,Pilihan
N2,実行,じっこう,Pelaksanaan
N2,努力,どりょく,Usaha
N2,成功,せいこう,Keberhasilan
N2,失敗,しっぱい,Kegagalan
N2,挑戦,ちょうせん,Tantangan
N2,経験,けいけん,Pengalaman
N2,知識,ちしき,Pengetahuan
N2,理解,りかい,Pemahaman
N2,解決,かいけつ,Penyelesaian
N2,原因,げんいん,Penyebab
N2,結果,けっか,Hasil
N2,目的,もくてき,Tujuan
N2,手段,しゅだん,Cara
N2,方法,ほうほう,Metode
N2,条件,じょうけん,Syarat
N2,状況,じょうきょう,Keadaan
N2,現象,げんしょう,Fenomena
N2,事実,じじつ,Fakta
N2,現実,げんじつ,Kenyataan
N2,理想,りそう,Idealis
N2,価値,かち,Nilai
N2,意味,いみ,Arti
N2,内容,ないよう,Isi
N2,形式,けいしき,Bentuk
N2,種類,しゅるい,Jenis
N2,特徴,とくちょう,Ciri khas
N2,機能,きのう,Fungsi
N2,役割,やくわり,Peran
N2,責任,せきにん,Tanggung jawab
N2,義務,ぎむ,Kewajiban
N2,権利,けんり,Hak
N2,自由,じゆう,Kebebasan
N2,平等,びょうどう,Kesetaraan
N2,関係,かんけい,Hubungan
N2,対立,たいりつ,Konflik
N2,協力,きょうりょく,Kerja sama
N2,競争,きょうそう,Persaingan
N2,交流,こうりゅう,Pertukaran
N2,接触,せっしょく,Kontak
N2,影響,えいきょう,Dampak
N2,支援,しえん,Dukungan
N2,援助,えんじょ,Bantuan
N2,保護,ほご,Perlindungan
N2,安全,あんぜん,Keamanan
N2,危険,きけん,Bahaya
N2,対策,たいさく,Langkah
N2,予防,よぼう,Pencegahan
N2,治療,ちりょう,Pengobatan
N2,健康,けんこう,Kesehatan
N2,生活,せいかつ,Kehidupan
N2,習慣,しゅうかん,Kebiasaan
N2,文化,ぶんか,Budaya
N2,伝統,でんとう,Tradisi
N2,宗教,しゅうきょう,Agama
N2,歴史,れきし,Sejarah
N2,社会,しゃかい,Masyarakat
N2,人口,じんこう,Populasi
N2,都市,とし,Kota
N2,地域,ちいき,Wilayah
N2,国家,こっか,Negara
N2,政府,せいふ,Pemerintah
N2,政策,せいさく,Kebijakan
N2,制度,せいど,Sistem
N2,経営,けいえい,Manajemen
N2,運営,うんえい,Operasi
N2,経費,けいひ,Biaya
N2,利益,りえき,Keuntungan
N2,損失,そんしつ,Kerugian
N2,収入,しゅうにゅう,Pendapatan
N2,支出,ししゅつ,Pengeluaran
N1,抽象,ちゅうしょう,Abstrak
N1,概念,がいねん,Konsep
N1,認識,にんしき,Pemahaman
N1,意識,いしき,Kesadaran
N1,価値,かち,Nilai
N1,存在,そんざい,Keberadaan
N1,本質,ほんしつ,Esensi
N1,現象,げんしょう,Fenomena
N1,理論,りろん,Teori
N1,仮説,かせつ,Hipotesis
N1,分析,ぶんせき,Analisis
N1,評価,ひょうか,Evaluasi
N1,判断,はんだん,Penilaian
N1,適用,てきよう,Penerapan
N1,統合,とうごう,Integrasi
N1,構造,こうぞう,Struktur
N1,視点,してん,Sudut pandang
N1,基準,きじゅん,Standar
N1,要因,よういん,Faktor
N1,展開,てんかい,Perkembangan
N1,体系,たいけい,Sistematis
N1,概略,がいりゃく,Garis besar
N1,要約,ようやく,Ringkasan
N1,主張,しゅちょう,Klaim
N1,証明,しょうめい,Pembuktian
N1,裏付け,うらづけ,Bukti pendukung
N1,論拠,ろんきょ,Dasar argumen
N1,前提,ぜんてい,Premis
N1,結論,けつろん,Kesimpulan
N1,推測,すいそく,Perkiraan
N1,仮定,かてい,Asumsi
N1,検証,けんしょう,Verifikasi
N1,実証,じっしょう,Pembuktian nyata
N1,確立,かくりつ,Pendirian
N1,維持,いじ,Mempertahankan
N1,強化,きょうか,Memperkuat
N1,拡大,かくだい,Perluasan
N1,縮小,しゅくしょう,Penyusutan
N1,変動,へんどう,Fluktuasi
N1,安定,あんてい,Stabilitas
N1,混乱,こんらん,Kekacauan
N1,対処,たいしょ,Penanganan
N1,対応,たいおう,Respon
N1,調整,ちょうせい,Penyesuaian
N1,修正,しゅうせい,Perbaikan
N1,改善,かいぜん,Peningkatan
N1,改革,かいかく,Reformasi
N1,革新,かくしん,Inovasi
N1,進展,しんてん,Kemajuan
N1,停滞,ていたい,Kemandekan
N1,衰退,すいたい,Kemunduran
N1,発生,はっせい,Kejadian
N1,生成,せいせい,Pembentukan
N1,消滅,しょうめつ,Kehilangan
N1,存在,そんざい,Keberadaan
N1,認知,にんち,Pengenalan
N1,把握,はあく,Pemahaman
N1,理解,りかい,Pemahaman
N1,解釈,かいしゃく,Interpretasi
N1,説明,せつめい,Penjelasan
N1,記述,きじゅつ,Deskripsi
N1,表現,ひょうげん,Ekspresi
N1,象徴,しょうちょう,Simbol
N1,比喩,ひゆ,Perumpamaan
N1,抽出,ちゅうしゅつ,Ekstraksi
N1,選定,せんてい,Pemilihan
N1,分類,ぶんるい,Klasifikasi
N1,整理,せいり,Organisasi
N1,構築,こうちく,Konstruksi
N1,設計,せっけい,Desain
N1,計画,けいかく,Perencanaan
N1,実施,じっし,Pelaksanaan
N1,運用,うんよう,Pengoperasian
N1,管理,かんり,Manajemen
N1,監督,かんとく,Pengawasan
N1,指導,しどう,Bimbingan
N1,教育,きょういく,Pendidikan
N1,訓練,くんれん,Latihan
N1,習得,しゅうとく,Penguasaan
N1,向上,こうじょう,Peningkatan
N1,達成,たっせい,Pencapaian
N1,成功,せいこう,Keberhasilan
N1,失敗,しっぱい,Kegagalan
N1,挑戦,ちょうせん,Tantangan
N1,克服,こくふく,Mengatasi
N1,努力,どりょく,Usaha
N1,継続,けいぞく,Keberlanjutan
N1,中断,ちゅうだん,Penghentian
N1,再開,さいかい,Memulai lagi
N1,終了,しゅうりょう,Selesai
N1,完了,かんりょう,Selesai total
N1,開始,かいし,Mulai
N1,導入,どうにゅう,Pengenalan sistem
N1,適応,てきおう,Adaptasi
N1,反応,はんのう,Reaksi
N1,影響,えいきょう,Pengaruh
N1,作用,さよう,Efek
N1,結果,けっか,Hasil
N1,原因,げんいん,Penyebab